Date,Price,Open,High,Low,Vol.,Change %,Vol_clean
2021-12-07,153.92,152.97,153.92,152.97,7.56K,0.60%,7560.0
2021-12-06,153.0,153.1,153.1,152.57,1.23K,0.42%,1230.0
2021-12-03,152.36,151.83,152.53,151.69,5.44K,0.66%,5440.0
2021-12-02,151.36,152.14,152.16,150.7,5.25K,-0.90%,5250.0
2021-12-01,152.73,152.19,153.12,152.18,12.37K,0.20%,12370.0
2021-11-30,152.43,153.31,153.99,152.43,6.96K,-0.71%,6960.0
2021-11-29,153.52,154.45,154.71,153.47,1.05K,-0.18%,1050.0
2021-11-26,153.8,155.84,155.84,153.8,5.50K,-0.57%,5500.0
2021-11-25,154.68,155.04,155.09,154.64,2.97K,-0.25%,2970.0
2021-11-24,155.06,154.55,155.06,154.08,1.75K,1.04%,1750.0
2021-11-23,153.47,155.85,155.85,153.47,2.41K,-1.78%,2410.0
2021-11-22,156.25,158.64,158.78,156.25,10.47K,-1.79%,10470.0
2021-11-19,159.1,158.82,160.22,158.65,4.06K,0.13%,4059.9999999999995
2021-11-18,158.9,159.83,159.83,158.72,3.13K,-0.54%,3130.0
2021-11-17,159.77,159.15,160.0,159.15,3.22K,0.75%,3220.0
2021-11-16,158.58,158.87,160.01,158.58,3.44K,0.28%,3440.0
2021-11-15,158.13,157.57,158.18,157.51,5.22K,0.28%,5220.0
2021-11-12,157.69,157.26,157.87,156.41,7.68K,0.22%,7680.0
2021-11-11,157.34,156.99,157.67,156.93,2.95K,0.68%,2950.0
2021-11-10,156.28,152.89,156.5,152.79,15.50K,2.20%,15500.0
2021-11-09,152.91,152.28,153.13,152.28,1.16K,0.27%,1160.0
2021-11-08,152.5,152.39,152.7,152.06,1.57K,0.32%,1570.0
2021-11-05,152.01,150.73,152.01,150.58,2.93K,0.98%,2930.0
2021-11-04,150.53,148.66,150.94,148.66,2.69K,2.03%,2690.0
2021-11-03,147.54,149.18,149.38,147.51,2.09K,-1.42%,2090.0
2021-11-02,149.66,149.75,150.05,149.62,2.37K,-0.15%,2370.0
2021-11-01,149.89,149.43,150.21,149.43,2.04K,0.54%,2040.0
2021-10-29,149.09,149.13,149.5,148.29,2.32K,-0.34%,2320.0
2021-10-28,149.6,150.63,151.1,148.84,6.61K,-0.21%,6610.0
2021-10-27,149.91,149.47,149.96,149.01,1.49K,0.23%,1490.0
2021-10-26,149.57,150.77,150.77,149.02,4.82K,-0.88%,4820.0
2021-10-25,150.9,149.67,151.1,149.62,4.42K,1.01%,4420.0
2021-10-22,149.39,149.36,150.84,149.26,3.08K,0.78%,3080.0
2021-10-21,148.24,148.31,148.85,148.02,4.81K,-0.21%,4810.0
2021-10-20,148.55,147.99,148.89,147.88,8.53K,0.67%,8530.0
2021-10-19,147.56,148.09,148.45,147.42,1.37K,-0.12%,1370.0
2021-10-18,147.74,147.74,147.96,147.35,2.89K,-0.24%,2890.0
2021-10-15,148.09,149.58,149.58,147.64,4.60K,-1.54%,4600.0
2021-10-14,150.4,149.91,150.41,149.65,1.79K,0.12%,1790.0
2021-10-13,150.22,148.01,150.57,147.87,2.26K,1.57%,2260.0
2021-10-12,147.9,147.75,148.46,147.39,1.22K,0.39%,1220.0
2021-10-11,147.32,146.91,147.33,146.8,4.49K,0.06%,4490.0
2021-10-08,147.23,147.64,149.1,147.23,2.57K,-0.10%,2570.0
2021-10-07,147.38,147.75,148.07,147.13,1.90K,-0.32%,1900.0
2021-10-06,147.86,146.64,147.99,146.39,2.89K,0.57%,2890.0
2021-10-05,147.02,146.84,147.02,146.37,2.78K,-0.20%,2780.0
2021-10-04,147.32,146.89,147.45,145.85,3.91K,0.09%,3910.0
2021-10-01,147.19,147.01,147.19,146.32,9.62K,-0.05%,9620.0
2021-09-30,147.27,144.45,147.36,144.37,2.29K,1.85%,2290.0
2021-09-29,144.59,144.61,145.16,144.23,1.48K,0.16%,1480.0
2021-09-28,144.36,144.51,144.61,143.61,3.14K,-0.59%,3140.0
2021-09-27,145.21,145.61,145.61,144.8,1.92K,0.11%,1920.0
2021-09-24,145.05,144.9,145.12,144.51,1.09K,0.39%,1090.0
2021-09-23,144.48,145.93,146.96,144.33,11.12K,-1.65%,11120.0
2021-09-22,146.9,147.02,147.06,146.6,0.20K,-0.32%,200.0
2021-09-21,147.37,145.62,147.37,145.38,1.92K,1.18%,1920.0
2021-09-20,145.65,145.05,146.12,145.0,4.07K,0.51%,4070.0000000000005
2021-09-17,144.91,145.19,145.38,144.42,5.82K,0.19%,5820.0
2021-09-16,144.63,146.76,147.05,144.22,5.12K,-1.75%,5120.0
2021-09-15,147.2,147.9,148.11,147.16,1.57K,-0.64%,1570.0
2021-09-14,148.15,147.01,148.2,146.16,5.80K,0.60%,5800.0
2021-09-13,147.26,147.18,147.75,146.99,2.19K,0.11%,2190.0
2021-09-10,147.1,147.73,147.73,146.87,4.56K,0.10%,4560.0
2021-09-09,146.96,146.86,147.61,146.6,8.29K,-0.07%,8290.0
2021-09-08,147.07,147.18,147.62,146.56,3.69K,0.02%,3690.0
2021-09-07,147.04,148.6,148.65,146.8,10.66K,-1.32%,10660.0
2021-09-06,149.01,149.3,149.3,148.92,3.78K,-0.25%,3780.0
2021-09-03,149.39,148.08,149.5,147.95,7.65K,0.86%,7650.0
2021-09-02,148.12,148.62,148.68,147.8,7.14K,-0.29%,7140.0
2021-09-01,148.55,149.09,149.09,148.05,6.47K,-0.04%,6470.0
2021-08-31,148.61,148.93,148.93,147.87,1.74K,-0.11%,1740.0
2021-08-30,148.78,149.14,149.43,148.78,4.64K,0.01%,4640.0
2021-08-27,148.76,148.58,148.76,147.33,7.00K,0.51%,7000.0
2021-08-26,148.0,147.13,148.0,146.98,1.63K,0.37%,1630.0
2021-08-25,147.46,148.29,148.47,147.39,6.14K,-1.12%,6140.0
